甲骨文字,龜甲文
漁叟,漁翁
歲除,除夕
靑華,花靑膏
斗星,北斗七星
九重,鳳城
砂土,沙土
舌根音,咽頭壁
席薦,席子
麯茶,曲茶
雷芝,藕花
面色,顔色
神意說,國家神意說
大輿,大方牀
陰府,十王廳
高謀,高謨
詩歌,玉韻
特赦,特別赦免
唐物貨,唐宋
四絃琴,提琴
菩薩僧,聲聞僧
閉塞音,破裂音
到着點,到達點
定賭,定租
同門修學,同門同學
乾病,作病
後廂陣,後陣
谿流,溪流
均時差,時差
記念賞,紀念賞
異俗,異風
實利實益,實利實得
有頂,有頂天
貤贈,追贈
佛陀,雁王
楕圓體,橢圓體
忿怒,忿恚
邦土,國土
步石,昇降石
璿源壂,眞殿
兄弟,天倫
賢宰相,賢相
狂談,狂言
寢牀,臥床
倨傲,傲慢
不均一系,異常系
頻伽,迦陵頻伽
筋漿,屍水
宦侍,內侍
潛水具,潛水器
唯物論,唯物主義
美國綿,陸地棉
無量壽經,大無量壽經
紀念辭,記念辭
肺結核,肺虛
波谷,波尾
綠末酵素,澱粉酵素
遊說,遊說
黑魚,鮦魚
癨氣,癨亂
雌雄淘汰,雌雄選擇
貴夫人,令室
元來,原來
庖丁,庖漢
暗唱,暗誦
鞭刑,笞刑
山禍,山頉
訓狐,鵂鶹
名主,名君
煙戶雜役,煙役
雷汞,雷酸水銀
無性闡提,斷善根
癘疾,癘疫
中世,中世紀
落帙,缺帙
三眼銃,三穴砲
馬頭戱,牽鉤
舊蹟,舊跡
脅迫,威脅
第次,次例
美日戰爭,太平洋戰爭
凶年,夥年
隆老,隆老人
向背,背向
阿閦婆佛,不動如來
妥傷,妥議
蜜蠟,蜂蠟
地球照,地球回照光
原料,原材料
疆宇,疆土
封印,封璽
落京,洛陽
六度,六波羅蜜
葛根,乾葛
觀照,靜觀
鱘魚,黃魚
側壓,側壓力
瞽人,奉事
戰火,戰鬪
社會敎育,家庭敎育
江原道,江原
和集合,合集合
政爭,政戰
仲介者,仲介人
東安區,東安
善書,良書
單白虎,內白虎
容態,容體
四元法,四元數
含憾,挾憾
嚴苛,嚴酷
騎射宮,射手宮
欌籠,籠欌
家君,家大人
女蘿,女蘿衣
菌蓋,菌傘
淸廉,翠簾
微妙,不可知解
遏迦,閼伽水
憲政國,立憲國
奬勵賞,獎勵賞
天倫,雁行
行賈,行商
西山大師,休靜大師
水泳場,水浴場
本來,本是
蒼朮,白朮
名宰,名宰相
輪船,火輪船
女先生,女敎師
極樂,地獄
眼華,眼花
低速,低速度
淳撲,淳朴
冥國,十王廳
鷄子淸,雞子白
匹敵,匹對
寡母,寡守
跏趺坐,全跏坐
罌子粟,罌粟子
國王,國君
發航,開船
因陀羅,因達羅
蓐醫,褥醫
化樂天,化天
賀詞,祝辭
幽界,九原
天秤,天平秤
英譽感,榮譽感
雎鳩,鵰鷄
文壇,詞壇
帶鞭毛類,渦鞭毛類
硏磨材,鍊磨材
掩堡,散兵壕
後素,繪畫
木兔,訓狐
强健,康健
姑從四寸,內從四寸
出版人,出版者
核武器,原子武器
虛焦點,分散點
仗囚,杖之囚之
頃者,曩昔
臆算,憶吹簫樂
禁苑,內苑
詩材,詩料
文革,文化大革命
金融界,金融市場
國際貿易,對外貿易
丹頂鶴,胎禽
愚人,愚物
六根,六入
遮日,天布
卵精巢,兩性巢
鞠劾,鞠問
中學徒,中學生
登錄質,營業質
罷樓草,露葵
外來語,借用語
導入部,序奏
專務領事,派遣領事
脫漏判決,補充判決
延禧宮,衍禧宮
悲觀,樂觀
體膨脹率,線膨脹率
暴言,暴言
事前,未然
唵昧,䵝昧
玩弄物,玩物
酸性病,酸性血液症
技術家,技術者
雅淡性,雅澹性
混淆,溷亂
生縛,生獲
頑蒙,頑迷
截頭錐體,圓臺
彈丸,子彈
魂輦,神輦
十二客,名花十二客
詩歌,詩人
淨宮,紺園
邊境,邊陲
彌勒佛,慈氏尊子
鋪置,布置
絲球體,四疊體
模表,模範
後軍,後廂
硬鱗類,硬鱗魚類
國聯,國際聯合
二十四節,二十四節氣
隕星,流星
象碁,象棋
舅氏,表叔
示姿法,擬狀法
淸蜜,蜂蜜
公明,公正
淋病,淋疾
强鯁,强勁
潰瘡,唐瘡
放漫,驕慢
幻術,幻法
阿從,媚諂
中稱,近稱
禁城,宮家
詩歌,詩謠
活捉,擒捉
白梅,霜梅
第三紀層,第三紀系
對坐,偶坐
高驪樂,高麗樂
彌勒慈尊,未來佛
墓位土,墓位
螭頭,螭柱石
落拓,拓落
稼業,稼行
阿賴耶識,藏識
宦官,宦者
長點,長所
萬年幽宅,陰宅
重服,輕服
分果,蓇葖果
靑顆麥,稞麥
地錦,血風草
滑便,水泄
不隨意筋,不隨筋
舌顫音,振動音
碧瀾,碧波
瞠目,瞠然
翰札,便紙
勞動協約,團體協約
南省試,國子試
毛管,毛細管
屠漢,庖漢
浮漚,啫哱囉
上限線,下限線
至貧,鐵貧
大勳,大勳位
山臺戱,山遊
巨酋,巨魁
胡壽,永壽
朝晩,朝暮
先年,昨年
諒闇,亮陰
彌勒,未來佛
殘鶯,老鶯
上京,出京
以此彼,於此於彼
慾天,欲天
結跏趺坐,半跏趺坐
檀施,布施
花紋牆,花紋墻
水槐,苦蔘
燐肥,燐酸肥料
俊慧,穎慧
幼兒,稚兒
紅姑娘,燈籠草
寡宅,寡婦宅
銀行所,銀行
形式,實質
照準集團,準據集團
大風樹,大楓樹
夢泄,夢遺
旅情,旅懷
趺坐,跏坐
美俗,美風
熔融劑,鎔劑
禁旅,禁軍
朋友,友人
經濟形態,經濟體制
散騎常侍,常侍
鬼王,魔王
少麴酒,素麴酒
悅口子,湯口子
寄稿,寄書
十王廳,陰府
國聯旗,國際聯合旗
伏念魚,船矴魚
南解王,南解次次雄
同氣,親同氣
杜魄,子規
山蠶,柞蠶
向前,前番
禁城,坤宮
三千大千,三千大天世界
紙繩,撚紙
述干,酒多
電探,電波探知機
宮禁,禁城
習慣性,慣性
六始,六律
晩冬,暮冬
騷亂,靜肅
遷人,遷客
午人,南人
擔保物權,物的擔保
趣旨,趣意
陽轉,陽性轉移
裸體,倮體
後進,前進
肇春,春初
自己分解,自家消化
助動詞,補助動詞
兵使,兵馬節度使
長壽,胡壽
代殺,代命
官司,衙府
離巢性,早成性
印象派,外光派
俗臭,俗氣
反逆罪,逆罪
一週忌,朞年祭
晩照,晩暉
甘苔,海衣
碁道,棋道
泰阿劍,太阿劍
水塘,本給
腦溢血,腦出血
派送,派遣
樟樹,樟腦樹
親近,疏遠
季夏,晩夏
辰砂,丹朱
陰疾,痳疾
鍊磨機,練磨機
今明,今明間
官家,官廷
利息算,步合算
預入金,預金
浮說,漂說
阜螽,蝗蝻
酒果脯醯,酒果脯
小臼齒,雙頭齒
嘉平月,嘉平
電信柱,電線柱
牡丹,木芍藥
松烟,松煙
憂嘆,憂歎
自己保存,自家保存
令女,愛玉
暴徒,暴徒
管攝,兼管
猥言,猥語
水曜日,水曜
耆叟,老少同樂
隙穴,隙孔
客裏,客中
宮中,禁裏
級槪念,一般槪念
頻繁,頻煩
客歲,昔年
廉探,廉察
軍縮會議,軍備縮小會議
混沌,秩序
闕席裁判,缺席裁判
初速度,初速
迷兒,迷息
怯弱,怯懦
唐畫籍,唐四柱冊
罌粟,米囊花
早秋,孟秋
雷芝,水丹花
後軍,殿軍
戰爭犯罪,戰犯
日昨,日前
公幹,公事
垂柳,絲柳
副殿,赴尊
象牙質,齒質
茵蔯,茵蔯蒿
體外培養,外植
儕輩間,同輩間
顯爵,榮爵
愆過,過謬
貪色,耽色
嫡妻,嫡配
詩箋紙,華箋紙
映射量,照射量
熔融鹽,鎔融鹽
洋鞋,洋靴
韓藥種商,韓藥業士
仙母,王母
姑母夫,姻叔
計劃書,計畫書
蘆原區,蘆原
靑竹,翠竹
懷中,懷裏
征雁,旅雁
天壤,天地
吏頭,吏札
勝景地,勝地
粉定,白定
百座法會,百座會
佛耳草,鼠麴草
優勝杯,優勝盃
黑鯉,蠡魚
國文科,國語國文學科
公堂,公府
讀脣,讀脣術
溶媒,溶劑
罹病,罹患
採用,採擇
家祿,世祿
永眠,永逝
細菌武器,生物學兵器
彎生胚珠,倒生胚珠
等溫層,成層圈
猜忌刻薄,忌刻
玉蘭,白木蓮
水努,射影
陽毒,猩紅熱
視界,眼界
阿彌陀佛,彌陀
良謀,良謨
反旆,回軍
種殖,種植
窒酸鹽,硝酸鹽
高弟,高足弟子
收賄罪,受賂罪
住持,主僧
等類,同類
陵墓,陵上
附椽,師椽
螺旋狀菌,螺旋菌
騈儷體,騈文
考終,考終命
碧苔,甘苔
註記,注記
一伐干,于伐飡
斷言的,定言的
標識板,標識板
景祚,景福
刻文,全角文
選言律,兩中選一原理
誇示效果,展示效果
慈氏,慈氏菩薩
縣官,縣監
減摩油,潤滑油
職牒,職帖
食堂,飮食店
瓜蒸,黃瓜蒸
磨砂,磨粉
寄稿者,寄稿家
晶體,水晶體
問數,問卜
女居士,淸信女
兔景,月華
干支,支干
暮冬,晩冬
熱電雙,熱電池
武烈之曲,武烈曲
過般,曩時
索道,索道
蹴蛾,蚇蠖
激音,有氣音
眸子,盧子
性質,性分
偶然,偶爾
卷子,周紙
器量,度量
曹洞宗,曹洞
金稜碗,金釦
刊行,印行
內國稅,國內稅
成層巖,水成巖
未定稿,未定草
栝蔞,烏瓜
樹氷,樹介
匱乏,匱竭
喪輿,轀輬車
諸賢,諸彦
楮李,皁李
雷魚,鮦魚
鹽基性巖,基性巖
寢衾,衽席
審査者,尋思員
步石,陞降石
適職,適業
短軀,長驅
宦者,內官
彩箋,彩牋
龜裂,龜裂
至窮,赤貧
寡婦,寡守
揣度,忖度
書信,鯉素
驕慢,矜大
三角壔,三角柱
自裁,自斃
功蔭田,勳田
魔乳,鬼乳
原刊本,初刊本
曲茶,玄水
洗眼,洗淨水
許可,不許
韓藥,韓醫藥
虛病,權病
浮蟻,綠蟻
生命紬,生紬
散官,散職
榮光,羞恥
職員會,職員會議
韶顔,韶容
白雪,素雪
念頭,懷裏
九九段,九九法
全體需,全體熟
高低波,橫波
婚禮,結婚式
元旦,正旦
打算的,公利的
器皿,器物
本土種,土鐘
荒地,荒土
自費生,私費生
薹芥,蕓薹
近代謠,新民謠
陵侮,凌蔑
內訓,女訓
缿筩,缿筒
霧淞,樹掛
終末論,終末觀
山陽,山南
損害,被害
象嵌,象眼
盜賊,賊
混亂,溷亂
海藻類,海藻
鳳蝶,鬼車
痛忿,痛憤
三八線,三十八度線
胸裏,胸中
渲染法,渲染
木毬,木丸
惡處,惡趣
全鰒,生鮑
渡津,江口
偏意,偏心
赤鯉,黃鯫
磽确,陳荒地
外題,內題
災田,火田
廢止,存續
津驛,津口
緣毛類,環毛類
傲然,倨傲
諂諛,媚諂
慈子,彌勒慈尊
施主,旦那
起聯,頷聯
史前,先史時代
監賑御使,監賑使
作事廳,作廳
卓然,卓爾
匹耦,匹偶
年代表,年表
我輩,吾輩
白堊質,白土質
鄕勇,團練
戍人,戍兵
相續者,相續人
魚鱖,水豚
寺刹,僧伽藍
釣絲,釣綸
軍制,兵制
哀思,哀念
貂熊皮,紫鞹
初冬,初冬三
渠帥,渠首
部下,上官
經濟速度,經濟速力
農夫,田子
夥數,多數
宿心,夙志
違反,違越
石階,陞降石
天名精,天蔓菁
土神祭,洞神祭
被選擧人,被選擧者
國鐵,國有鐵道
修了狀,修了證
惹鬧,惹起鬧端
邊境,邊方
大論,摩訶般若釋論
剋定,克定
凶事,兇事
簿羅樹,大葉柞
完州郡,完州
急襲,襲擊
向日,向前
娼婦,淪落女
智謀,智略
打擊率,打率
次丁,待年軍
釐金稅,釐金
兵器庫,軍器庫
東班,西班
國際聯合,國聯
丹心,丹款
紀律,紀律
養疴,養痾
便紙,惠音
閭巷間,村間
蜀黍,蜀秫
加水解離,加水分解
訴訟手續,訴訟節次
淨刹,僧伽藍
慶事,嘉事
弊國,敝國
揮毫,揮灑
階前草,虋冬
嬌客,東床
琦行,奇行
燒明礬,燒白礬
蠐螬,地蠶
分付,分附
鐵脚,聒聒兒
破曉,破卯
鴟吻,鴟尾
前妣,先妣
升平,承平
鬱草,鬯草
都人士,都人
禺强,禺彊
沃壤,沃土
斥佛,排佛
登梓,板刻
仙寢,王陵
齒石,齒鹽
釋尊,世尊
定型詩,散文詩
登用,登庸
拂入金,納付金
馬脚,馬脚露出
龜背,傴背
肉庫子,肉直
災難,殃咎
累代,累世
奧旨,奧義
琉璃體,硝子體
腐蝕銅版,腐刻法
沒呑,沒喫
粉藥,粉末藥
風采,風節
精爽,精靈
散村,散在部落
金柑,金橘
月刊誌,月刊雜誌
朱砂,硃砂
職帖,職牒
下窟鳥,雎鳩
奇人,偏人
計算筒,算筒
尼僧,比丘尼
細菌彈,細菌爆彈
柩車,靈柩車
刑事警察,司法警察
聲門音,聲門閉鎖音
移牒,移關
黃土,陰府
破閑,破寂
丘墓,墳塋
僧伽藍,紺園
晩秋,季秋
匏蘆,匏瓜
藩鎭,節度使
高階言語,上位言語
彈舌音,振動音
欲念,欲氣
聽感度,可聽度
强力,怪力
巖岫,石窟
遲延,遲引
賜牌田,賜牌之地
餘烈,餘毒
飾羽,裝飾羽
洞窟,洞穴
兼職,兼銜
高距,海拔
平時調,平擧時調
根底,基礎
搬運,運搬
帽子標,帽標
頷下物,頷下
輿圖,輿地圖
綢部,廚夫
拈提,拈古
左心房,左心耳
偸閑,偸閒
通辯,通譯
圖鑑,圖譜
産別,産業別
肺結核,虛勞症
繼梁,繼樑
休息資本,死資本
劇暑,極寒
音盤,蓄音機板
大暑,大熱
偵察,偵探
傷寒陽症,陽症
退職,開缺
冥間,冥路
紫闥,禁內
沿路,沿度
鮆魚,魛魚
無量,無限量
白銑,白銑鐵
魔羅,摩羅
窓糊紙,窓戶紙
兩棲動物,兩棲類
蛇頭瘡,代指
無邊利,無邊
大葉柞,枹木
中位値,中位數
前膊,下膊
水素爆彈,熱核爆彈
力能,能力
末藥,末劑
甎甓,甓瓦
白木蓮,玉蘭
伯姪,長姪
伽藍,淨刹
幼兒,孩提
販禁,販賣禁止
赤誠,赤心
鎖閉,閉鎖
海苔,靑苔
腥血,羶血
食單,食單表
陳述,口述
窒酸,焰硝酸
樹氷,木稼
擒生,活捉
輪王,轉輪王
荒年,凶年
肉質類,僞足類
步兵,步軍
對審判決,對席判決
加增,增益
强賊,强盜
聖詔,聖勅
侍丞,監察侍丞
疫患,天然痘
船貨證券,船荷證書
圍心囊,圍心竇
豐裕,豊裕
轉法輪,轉妙法輪
宿館,客亭
開啓,開白
晴雨,雨暘
牛台,右揆
世途,世路
鳴鏑,嚆矢
方天畫戟,方天戟
鎔石,熔石
先發,前發
貧寒,屢空
脂肪腺,皮脂腺
散帙,缺本
造山運動,造山作用
積貯,蓄積
翠鳥,翡翠
旅懷,旅魂
罷業資金,罷業基金
至那,脂那
二券主義,復券主義
李大鳳傳,奉凰臺
毒手,毒蛾
硅酸,硅酸無水物
春木,春材
花粉,蕊粉
決裁,裁決
信書,鯉素
硅肺症,硅肺病
脫水症,脫水
瞳孔,矑子
雲黻翣,翣扇
胎便,蟹糞
陰府,幽都
宮牆,宮墻
諧謔,詼諧
旅抱,旅懷
世界大戰,大戰
當前,當面
館舍,客舍
唐瘧,痎瘧
聖慮,軫念
追陣,追書
宇宙,混元
三伏,伏中
靑空,靑天
三朝,三始
銑鐵,生水鐵
挽留,挽止
登高,登陟
農夫,耕夫
向日,去番
玉門,宮闕
水狐,含沙
傷痛,痛悼
通國,全國
縲絏,捕繩
水廓,瞳子
桑扈,桑鳸
趁限,趁期
食頃,時刻
連環指數,連鎖指數
偅僕,僮隷
消殘,銷殘
補充,充補
椽廳,作事廳
例常一,例常事
殺蟲燈,誘蛾燈
惡風,惡風症
動勢,生動感
水脈,水文
玉圈,玉貫子
利子率,利率
讒者,讒人
彩箋,彩牋紙
課稅權,課稅權能
書帷,書幃
輝銀鑛,硫銀鑛
金印勅書,金印憲章
長老會,長老敎
南天燭,文燭
全骨,全身骨
參考,參照
砂鑛床,砂鑛
査核,査覈
埋築,埋立
尺翰,便紙
空門,佛道
反覆,反復
敏捷,迅速
像型,母型
徑尺,徑寸
機知,機智
屋椽,椽木
先次,前者
彩畫,彩色畫
卜術,女巫
不如歸,時鳥
金銀藤,鴛鴦藤
名筆,名筆家
抗議,抗卞
同樞,同知中樞府事
含光,鰉魚
曲蟺,蛐蟮
苦楝實,苦楝子
莎鷄,梭鷄
前膊,上膊
暗綠色,暗綠
畢刷,畢捧
去般,去番
斜皮,貂皮
門脈,門靜脈
詠歎,感歎
視神經炎,時速炎
吏曹,選部
大儒,巨儒
樊籬,藩籬
黏椒,漢椒
搗砧,擣砧
餘剩,剩餘
女官,采女
雜技,外技
四邊形,四角形
卒篇,終篇
堰塞湖,堰止湖
元金,母財
桁頭,下版
胡麻粥,芝麻粥
見積書,推算書
元正,元旦
崩墜,崩落
湧出,迸出
凍氷,結氷
樹掛,木稼
褊隘,偏狹
宮禁,宮掖
式禮,儀式
閤夫人,令夫人
鼠黏子,惡實
雁使,雁書
移行鳥,候鳥
令女,閨愛
陶業,窯業
境場,國境
左纏藤,老翁鬚
賣卜者,占者
周忌,週忌
詞腦樂,詩腦樂
飢餓,饑餓
菘菜,白菜
遲引,遲延
反粒子,反陽子
願買人,願賣者
腦蓋,神經頭蓋
霿淞,霧淞
構思,構想
饊子,糤子
祕書,祕本
吠舍,首陀羅
卒更,巡邏
拘禁,句留
草偶人,草人
佳芳,芳香
奔潰,犇潰
共擔義務,連帶責任
蠻俗,蠻風
冬期,夏期
交換貿易,求償貿易
老病,老疾
舒發翰,角粲
名退,名譽退職
鄕部樂器,鄕部
容顔,顔面
宮女,紅袖
天漢,銀河
闍鼻多法,焚燒法
至于今日,迄今
病傷者,傷病者
陶瓷器,陶磁器
光霽,霽月光風
龜裂,龜裂
於焉,於焉之間
破壞爆彈,細裂爆彈
光彩,光耀
多色印刷,多色刷
無據,無稽
纖月,纖魄
困乏,困頓
沙器眞珠,琺瑯質瘤
阿閦婆佛,阿閦如來
同位槪念,對位槪念
熱泉,溫泉
舍利,奢利
重要,緊要
紅桃,紅桃花
氣絶落膽,氣絶膽落
彌勒座主,菩薩
空閒處,空閑處
祝髮,剃髮
議論,論議
佳辰,佳節
冠略,冠省
蜜柑,倭橘
攔入,闌入
蒸鬱,烝鬱
截斷,斷截
急症,急病
君上,君王
楊花歌,楊花詞
昔脫解,脫解王
斜日,晩陽
單純林,純林
遷改,遷易
鴻儒,宏儒
捕虜,囚擒
牛嬭柹,桾櫏子
運轉士,運轉手
限界層,境界層
小還入,細還入
甘署,藷芋
大乘敎,大乘佛敎
連成遺傳,伴性遺傳
沙柱,砂柱
肯定,拒絶
視力,眼力
初等生,初等學生
拜覆,敬扑
場時勢,市價
刊本,筆寫本
九樑閣,九樑
端緖,緖端
大祭司長,大司祭
雜錄,雜記
竈鷄,竈馬
免身,解産
低水橋,潛水橋
乏材,乏人
尺牘,片紙
波狀平原,準平原
海衣,甘苔
狐臭,腋臭
坤仙命,乾仙命
睿哲,英哲
親享,親祭
溶解質,溶質
耳介,耳翼
幹線,基線
煙火氣,煙火口氣
織女星,織女
樂浪,樂浪
跗節,腿節
左纏藤,通靈草
共用栓,共同栓
吸適蟲,吸管蟲
弦月,却月
至窮,至貧
地菘,天名精
穴見,見一斑知全豹
壙穴,墓穴
曲譜,樂譜
祭禮樂,祭樂
千聞,百聞
水泄,液便
痎瘧,三日熱
諺文廳,正音廳
黑糖,黑砂糖
呪法,呪術
惡材料,惡材
心囊,心膜炎
山臺雜劇,山臺都監劇
諦觀,靜觀
酷暑,酷炎
聽覺器官,音受容器官
孩兒,幼兒
天河,高河
磁氣力線,磁氣指力線
利附,利子附
藩籬,笆籬
小溲,小水
創造,模倣
山來龍,來龍
出萃,出類拔群
過稱,過讚
男女平等,兩性平等
復極劑,消極劑
誘電體,電媒質
茶具,茶諸具
性向,氣質
丘墳,萬年幽宅
閻羅,閻王
屋廬,住宅
重彩畵,重彩畫
貸付,貸附
運轉席,運轉臺
鉤勒,沒骨法
出梢,出末
間隙率,孔隙率
古典樂,古典音樂
公堂,官寺
縮遠鏡,望遠鏡
創製,創制
虛頭,冒頭
牆屋,堵牆
癌汁,癌乳
氷解,氷釋
家業,家職
海螺,螺貝
漏藍子,木鼈子
重瓣胃,第三胃
遮止,遮遏
祭獻經,奉獻誦
三考法,三期法
慾心,慾氣
附近處,附近地
韓日倂合,庚戌國恥
精舍,禪宮
朝晡,朝夕
敲推,改稿
仄日,晩照
滿洲文字,滿字
官署,公堂
禁裏,掖庭
還背書,逆轉書
唐亢羅,生亢羅
蟲害,蟲損
面積計,側面器
減算,加算
客歲,昨年
女堞,垜口
慈氏菩薩,慈氏尊子
精力,精氣
蜘蛛絲,蛛絲
擾亂,搖亂
微震計,微動計
假賭,假賭租
燈盞,火燈盞
經閉期,月經閉鎖期
弁辰,弁韓
古蹟,古跡
騎馬術,馬術
催眠藥,催眠劑
活捉,擒獲
稱讚,詰難
僞經,新約外傳
車駕,輦轂
矜大,高慢
有名人,名下士
接遇,接對
公判廷,公廷
馭者,御者
液材,邊材
薄給,薄俸
想起說,想起論
過政,過渡政府
貢侵魚,針魚
雜貨,雜貨品
魁選,壯元
水軍,船軍
韓醫,韓醫師
屠兒,庖丁
女侍,宮嬪
晨暉,朝暉
力不足,力不及
宮殿,九重
非行地域,虞犯地帶
無絃琴,無弦
角珊瑚類,魔除珊瑚類
武班,西班
龜坼,龜裂
陳荒處,窮髮
悖談,悖說
老翁鬚,密補藤
嘉排日,嘉俳日
歸蜀道,時鳥
舊巢,古巢
尼寺,女僧房
薄曇,微曇
矜惻,矜憐
角化層,角質層
寺刹,僧館
胥吏,下吏
職僚,官吏
嚴懲,痛懲
高照旗,高招旗
土墻,土垣
質定,作定
慙怍,慙愧
度協,度支協辦
銃丸,銃彈
淋疾,痳疾
舌側音,側音
烟軍,煙軍
免凶,免歉
男系親,父系血族
便房,便所
正積圖法,等積圖法
喉音,聲帶音
綿子廛,綿花廛
跏趺坐,全跏
時辰,食頃
作事廳,秩廳
銃砲,砲銃
獨我論,獨在論
媚諂,諂諛
投射影,投影
花郞制度,花郞制
鉅公,天子
考律司,考律司
僧伽藍摩,紺宇
自動電話,自動式電話
多聲音樂,複旋律音樂
買主,購買者
人工林,始業林
奇話,奇譚
節臼,髀臼
破産,倒産
此土,此岸
奇別,朝紙
廢氣瓣,吸氣瓣
便毒,妬精瘡
藝術映畫,劇映畫
聯詩,聯句
學術雜誌,學術誌
土官職,鄕職
負袋,包袋
實職,正任
牙兵軍,牙兵
加羅,伽羅
郊祀,郊祀祭
禁闕,九禁
獻桃卓,仙桃卓
輕巡洋艦,輕巡
杜魄,住刻啼禽
補陽劑,補陽藥
寬容義務,默認義務
撤罷,撤廢
邊陬,邊境
非合理的,合理的
淨刹,精舍
見識,識見
適時期,適期
同性戀愛,同性愛
堙滅,湮沈
受寶籙舞,受寶籙
死刑囚,結案罪人
景觀地理,景觀地理學
不整脈,不調脈
生男,得男
法衣,法服
懷胎,孕胎
層臺,層層臺
先哲,先賢
天障,天井
雲函,貴函
神秘主義,神祕論
廟議,廟論
實吐,說吐
彌勒,菩薩僧
口碑文學,漂泊文學
蒙恩,蒙惠
面交,面朋
外知製敎,內知製敎
麝香囊,香囊
未來佛,慈氏菩薩
磽确,瘠地
雀梅,山櫻桃
鴻志,大志
勤勞階級,勞動階級
白毛症,白髮症
秀魚,羽鱗
八柱比廛,六注比廛
于山島,獨島
蟹糞,胎兒糞
司法行政,法院行政
挽章,輓章
語原,語源
黎元,黎民
庫司,都總
貪食症,多食症
啓明星,明星
歸途,歸程
尙武,右武
結合,牽合
木毬競技,十住戱
威嚇,脅威
緊切,切緊
嘉賞,佳賞
警備網,警備線
書翰紙,便紙紙
豚脂油,豬脂
默認義務,寬容義務
裁量,自由裁量
軟弱,强固
降壓器,降壓變壓器
蕣花,舜花
僧坊,淨刹
請囑,干囑
窣堵婆,率堵婆
困臥,困寢
盞臺,托盤
菩薩,彌勒慈尊
嘉俳節,嘉排節
志望,志願
創作壇,作壇
海東靑,迅羽
縫匠筋,縫工筋
江原,江原道
零簡,散帙
郊里,坊曲
潰瘡病,骨疽
伉配,夫婦
感應機械,感應機
萬年幽宅,冢墓
蓮花,荷花
銀匠色,銀匠
黑鯉,黑魚
大儒,碩儒
月初,月始
昕夕,朝夕
接頭,接長
知中樞,知中樞府事
大小避,大小便
侈傲,褻慢
亞麻油,亞麻仁油
凶暴性,兇暴性
風爐,涼爐
原簿,臺帳
判院事,判樞密
敎化,陶化
萎蕤,菟竹
檢見,看坪
剪鬃,翦鬃
契活,契闊
聽覺區域,聽覺領
驕慢,倨傲
金杯,金盞
鑛滓,鎔滓
判事,判司平臺事
高旨,高志
烝庶,蒸民
火泄,熱泄
伏日,三伏
斷腸花,秋海棠
奪嫡,奪宗
極嚴,切嚴
禽獲,生縛
逸帙,殘缺本
附椽,婦椽
絞戮,絞殺
右武,尙武
慾火,欲火
宸掖,九重
硏磨材,硏削材
上輔國,上輔國崇祿大夫
重舌風,舌瘡
先次,頃日
釋論,智度論
聲母,字母
高算,高策
列位,衆位
同意語,反意語
道德敎育,德育
逸帙,闕本
寺社,寺刹
席上,座上
女官,宮娥
晧晧,皜皜
家塾,門塾
思料,思量
堆石,氷堆石
不虞備,不虞之備
闕如,缺如
短慮,輕慮
盲錢,無孔錢
奇巖怪石,奇巖
動動舞,牙拍舞
耆叟,耆艾
依禮件,例件
朱子學,宋學
蘊奧,神髓
殘人害物,殘害
妖姬,妖女
隘守,扼守
各別,恪別
豊足,豐足
破倫,悖倫
雀麥,穬麥
左寸,手寸
窄小,狹小
戶曹,度支
家訓,庭敎
淨刹,禪宮
退色,渝色
法曹人,法曹
鉛筆芯,鉛筆心
殘匪,餘匪
繈屬不絶,鏹續不絶
同盟員,盟員
庶孫,嫡孫
賞盃,賞杯
刺殺,刺殺
坤宮,王宮
支石墓,撐石
大殺年,大無之年
意識野,識野
丁若鏞,丁茶山
成膿,化膿
短針,時針
湯泉,溫泉
左挾舞,左挾
子規,望帝
多畜農,多畜農家
靑踏派,靑鞜波
別間,別家
裸體像,倮體像
大葉櫟,枹木
雄深和平,平調和
波濤,濤波
泉龍,石龍子
技癢,伎癢
陷穽,檻穽
菜田,圃田
權大乘敎,權大乘
靈柩車,柩車
不毛地,萊蕪
淨土論,往生論
四疊體,絲球體
淳撲,醇朴
渡頭,江口
觀望,眺望
獼猴桃,彌猴桃
阿惟三佛,阿毘三佛陀
壁煖爐,壁暖爐
粗寧,粗安
官司,府署
哀願,歎願
校書監,校書館
弊風雨,蔽風雨
顔面,容顔
他地方,他地
空試驗,對照試驗
殿最,貶題
護身用,保身用
冒廉,冒沒廉恥
驛區內,驛區
迂回,捷徑
吉士,吉次
毒酒,鴆酒
風積土,風成土
大烏知,大烏
酸中毒,酸毒症
代辨,代辦
賢否,賢愚
龜背,僂背
妻宮,妻妾宮
梁山,梁山市
兵卒,卒兵
吉凶,殃慶禍福
罰番,罰直
尠少,鮮少
宸筆,御筆
校正刷,校正印刷
防牌,干櫓
頷下,頷下之物
營業保險,營利保險
簉室,別室
禽獲,擒捉
極寒,酷寒
文見草,蘆葦
等級,梯級
磚石,甓瓦
水苔,水綿
向日,向者
無漏路,無漏地
唐黍,玉高粱
從此以往,從今以後
女性像,女人像
假果,仮果
竹竿子,戱竹
石灰巖,石灰石
談議,議論
元宵,元夕
珍島,珍島郡
眼同,立會人
同輩間,儕輩間
尙今,至于今
綠肥,草肥
阿彌陀,無量壽佛
綠末酵素,綠末糖化素
先壟,先墓
頭錢,牙錢
書簡,書翰
唐慌,沈着
櫟木,枹木
